1:	og	- 1213
2:	i	- 1147
3:	det	- 1061
4:	er	- 945
5:	å	- 921
6:	som	- 921
7:	på	- 881
8:	en	- 758
9:	til	- 665
10:	av	- 655
11:	for	- 623
12:	med	- 581
13:	at	- 541
14:	vi	- 508
15:	har	- 455
16:	jeg	- 394
17:		- 377
18:	ikke	- 363
19:	et	- 363
20:	den	- 316
21:	de	- 302
22:	kan	- 297
23:	var	- 278
24:	om	- 278
25:	seg	- 261
26:	dette	- 251
27:	du	- 250
28:	men	- 248
29:	man	- 246
30:	så	- 229
31:	fra	- 176
32:	vil	- 157
33:	eller	- 138
34:	opp	- 137
35:	skal	- 135
36:	oss	- 124
37:	alle	- 124
38:	over	- 121
39:	være	- 120
40:	hun	- 117
41:	ble	- 116
42:	noe	- 115
43:	ut	- 115
44:	også	- 114
45:	meg	- 111
46:	når	- 109
47:	ein	- 106
48:	hadde	- 105
49:	etter	- 103
50:	blir	- 103
51:	andre	- 100
52:	ved	- 100
53:	hva	- 96
54:	denne	- 94
55:	noen	- 89
56:	litt	- 88
57:	mer	- 87
58:	inn	- 86
59:	da	- 84
60:	før	- 84
61:	mange	- 83
62:	skulle	- 79
63:	må	- 79
64:	nå	- 78
65:	hvor	- 76
66:	her	- 76
67:	få	- 72
68:	første	- 72
69:	mye	- 70
70:	bli	- 68
71:	der	- 65
72:	bare	- 65
73:	år	- 63
74:	deg	- 63
75:	går	- 63
76:	enn	- 63
77:	ha	- 63
78:	to	- 62
79:	kunne	- 61
80:	gjør	- 61
81:	kanskje	- 61
82:	online	- 60
83:	alt	- 60
84:	selv	- 60
85:	sin	- 58
86:	kommer	- 58
87:	gjøre	- 58
88:	ser	- 56
89:	disse	- 55
90:	se	- 55
91:	flere	- 53
92:	han	- 52
93:	nye	- 52
94:	nok	- 51
95:	hennes	- 51
96:	helt	- 50
97:	eit	- 50
98:	mot	- 48
99:	slik	- 48
100:	vår	- 48
101:	gang	- 48
102:	ønsker	- 48
103:	godt	- 47
104:	hvordan	- 47
105:	hele	- 46
106:	henne	- 46
107:	får	- 45
108:	ikkje	- 44
109:	-	- 44
110:	ingen	- 44
111:	vært	- 44
112:	rundt	- 43
113:	dere	- 43
114:	samme	- 42
115:	leder	- 41
116:	mens	- 41
117:	rett	- 40
118:	tid	- 38
119:	neste	- 38
120:	annet	- 38
121:	ta	- 38
122:	min	- 37
123:	store	- 37
124:	blant	- 37
125:	si	- 37
126:	tilbake	- 36
127:	allerede	- 36
128:	både	- 36
129:	gå	- 36
130:	sine	- 35
131:	fikk	- 35
132:	gikk	- 35
133:	javascript	- 34
134:	hvert	- 34
135:	faktisk	- 34
136:	sier	- 34
137:	siste	- 34
138:	uten	- 34
139:	vel	- 34
140:	ville	- 34
141:	hvis	- 33
142:	gjennom	- 33
143:	tar	- 33
144:	eksempel	- 33
145:	tatt	- 33
146:	igjen	- 33
147:	dei	- 32
148:	siden	- 32
149:	studenter	- 32
150:	stor	- 31
151:	god	- 31
152:	veldig	- 31
153:	mest	- 31
154:	eg	- 30
155:	ting	- 30
156:	tidligere	- 30
157:	tre	- 29
158:	offline	- 29
159:	spillet	- 29
160:	gir	- 29
161:	jo	- 29
162:	tok	- 28
163:	ofte	- 28
164:	våre	- 28
165:	ned	- 28
166:	ei	- 28
167:	heller	- 28
168:	mellom	- 27
169:	sett	- 27
170:	fordi	- 27
171:	kom	- 27
172:	folk	- 27
173:	nytt	- 27
174:	står	- 27
175:	blitt	- 27
176:	kun	- 27
177:	spill	- 26
178:	under	- 26
179:	ett	- 26
180:	gamle	- 26
181:	gjerne	- 26
182:	dag	- 26
183:	html	- 26
184:	fått	- 26
185:	spesielt	- 25
186:	tiden	- 25
187:	sitt	- 25
188:	finne	- 25
189:	koden	- 25
190:	minst	- 25
191:	dersom	- 25
192:	tillegg	- 24
193:	hovedstyret	- 24
194:	ntnu	- 24
195:	kjente	- 24
196:	bedre	- 24
197:	mindre	- 24
198:	hver	- 23
199:	egentlig	- 23
200:	bak	- 23
201:	nesten	- 23
202:	vet	- 23
203:	ny	- 23
204:	bedkom	- 23
205:	lite	- 22
